subsystem,reaction
DCYTDn,DCYTDn
DCYTt,DCYTt
DECDPtm,DECDPtm
DEDOLP2_L,DEDOLP2_L
DESAT18_10,DESAT18_10
DESAT18_6,DESAT18_6
DESAT18_12,DESAT18_12
DESAT22_2p,DESAT22_2p
DESAT24_1,DESAT24_1
DGCHOLte,DGCHOLte
DGSNt,DGSNt
DGSNtm,DGSNtm
DHCRD2,DHCRD2
DHDPBMTm,DHDPBMTm
DHEASt,DHEASt
DHEASULT,DHEASULT
DHEAtr,DHEAtr
DHFtl,DHFtl
DHFtm,DHFtm
DHORD9,DHORD9
DHPM1,DHPM1
DIGALSGALSIDEtg,DIGALSGALSIDEtg
DIGALSIDEtl,DIGALSIDEtl
DITPtn,DITPtn
D_LACt2,D_LACt2
DLNLCGCPT1,DLNLCGCPT1
DM_Asn_X_Ser_Thr_l,DM_Asn_X_Ser_Thr_l
DM_core5_g,DM_core5_g
DM_dem2emgacpail_prot_hs_r,DM_dem2emgacpail_prot_hs_r
DM_dgpi_prot_hs_r,DM_dgpi_prot_hs_r
DM_dsT_antigen_g,DM_dsT_antigen_g
DM_kdn_c,DM_kdn_c
DM_melanin_c,DM_melanin_c
DM_n5m2masn_g,DM_n5m2masn_g
DM_oretn_n,DM_oretn_n
DM_Ser_Thr_l,DM_Ser_Thr_l
DM_Ser_Gly_Ala_X_Gly_l,DM_Ser_Gly_Ala_X_Gly_l
DM_sprm_c,DM_sprm_c
DMANTIPYRINEte,DMANTIPYRINEte
DMATTx,DMATTx
DMGDHm,DMGDHm
DMGtm,DMGtm
DMHPTCRNCPT2,DMHPTCRNCPT2
DMHPTCRNte,DMHPTCRNte
C110CPT2m,C110CPT2m
DMNONCRNt,DMNONCRNt
DNADtn,DNADtn
DNDPt10m,DNDPt10m
DNDPt11m,DNDPt11m
DNDPt13m,DNDPt13m
DNDPt14m,DNDPt14m
DNDPt15m,DNDPt15m
DNDPt16m,DNDPt16m
DNDPt17m,DNDPt17m
DNDPt18m,DNDPt18m
DNDPt1m,DNDPt1m
DNDPt20m,DNDPt20m
DNDPt21m,DNDPt21m
DNDPt25m,DNDPt25m
DNDPt28m,DNDPt28m
DNDPt32m,DNDPt32m
DNDPt37m,DNDPt37m
DNDPt38m,DNDPt38m
DNDPt39m,DNDPt39m
DNDPt40m,DNDPt40m
DNDPt42m,DNDPt42m
DNDPt43m,DNDPt43m
DNDPt45m,DNDPt45m
DNDPt49m,DNDPt49m
DNDPt50m,DNDPt50m
DNDPt52m,DNDPt52m
DNDPt55m,DNDPt55m
DNDPt56m,DNDPt56m
DNDPt57m,DNDPt57m
DNDPt59m,DNDPt59m
DNDPt5m,DNDPt5m
DNDPt60m,DNDPt60m
DNDPt61m,DNDPt61m
DNDPt62m,DNDPt62m
DNDPt63m,DNDPt63m
DNDPt6m,DNDPt6m
DOLGPP_Ler,DOLGPP_Ler
DOLICHOL_Lter,DOLICHOL_Lter
DOLICHOL_Uter,DOLICHOL_Uter
DOLK_U,DOLK_U
DOLPH_Uer,DOLPH_Uer
DOLPMT_U,DOLPMT_U
DOLP_Lter,DOLP_Lter
DOLP_Uter,DOLP_Uter
DOPAt4_2_r,DOPAt4_2_r
DOPAtu,DOPAtu
